"","ERG_d_ITN0","ERG_r_ITN0","gamman","bioassay_surv"
"1",0.316917632753279,0.655478715628725,3.80871490794686,0
"2",0.316523352403698,0.655781419921457,3.80099913712928,0.01
"3",0.316124975508724,0.656087018011099,3.79322081529706,0.02
"4",0.31572241849361,0.656395565520378,3.78537881967746,0.03
"5",0.315315595211362,0.656707119704026,3.77747199572161,0.04
"6",0.314904416836163,0.657021739513701,3.7694991558666,0.05
"7",0.314488791751221,0.657339485666196,3.76145907823582,0.06
"8",0.314068625430677,0.657660420715118,3.75335050527386,0.07
"9",0.313643820315208,0.65798460912627,3.74517214231177,0.08
"10",0.313214275680892,0.658312117356958,3.73692265605852,0.09
"11",0.312779887500927,0.658643013939483,3.72860067301386,0.1
"12",0.312340548299693,0.658977369569069,3.72020477779761,0.11
"13",0.311896146998671,0.659315257196542,3.71173351139005,0.12
"14",0.311446568753653,0.659656752126038,3.70318536927756,0.13
"15",0.310991694782645,0.660001932118106,3.69455879949725,0.14
"16",0.310531402183834,0.660350877498543,3.68585220057385,0.15
"17",0.310065563742889,0.66070367127337,3.67706391934161,0.16
"18",0.309594047728873,0.661060399250359,3.66819224864334,0.17
"19",0.309116717677925,0.661421150167561,3.65923542489811,0.18
"20",0.308633432163821,0.661786015829351,3.65019162552829,0.19
"21",0.308144044554467,0.662155091250501,3.64105896623626,0.2
"22",0.30764840275325,0.662528474808868,3.63183549811962,0.21
"23",0.307146348924117,0.662906268407333,3.6225192046135,0.22
"24",0.306637719199134,0.663288577645664,3.61310799824703,0.23
"25",0.306122343367166,0.663675512003055,3.60359971720024,0.24
"26",0.305600044542193,0.664067185032143,3.59399212164624,0.25
"27",0.305070638809646,0.664463714565388,3.58428288986225,0.26
"28",0.304533934848987,0.664865222934785,3.5744696140917,0.27
"29",0.303989733530587,0.665271837205944,3.56454979613748,0.28
"30",0.30343782748478,0.665683689427707,3.55452084266534,0.29
"31",0.302878000640744,0.666100916898547,3.54438006019362,0.3
"32",0.302310027732647,0.666523662451136,3.53412464974381,0.31
"33",0.301733673770203,0.666952074756596,3.52375170112365,0.32
"34",0.301148693470553,0.667386308650098,3.51325818681171,0.33
"35",0.30055483064798,0.667826525479646,3.50264095540929,0.34
"36",0.299951817557678,0.668272893480062,3.49189672462211,0.35
"37",0.299339374189339,0.668725588174403,3.48102207373007,0.36
"38",0.29871720750588,0.669184792805277,3.47001343549924,0.37
"39",0.298085010622113,0.669650698798783,3.45886708748523,0.38
"40",0.297442461917572,0.670123506264106,3.44757914267153,0.39
"41",0.296789224077055,0.670603424532113,3.43614553938018,0.4
"42",0.296124943051684,0.671090672736692,3.42456203038509,0.41
"43",0.29544924693245,0.671585480443008,3.41282417115043,0.42
"44",0.294761744727211,0.672088088327286,3.40092730710735,0.43
"45",0.294062025031063,0.672598748913355,3.38886655987207,0.44
"46",0.293349654578673,0.673117727371728,3.37663681229682,0.45
"47",0.292624176665798,0.673645302387777,3.36423269223145,0.46
"48",0.29188510942549,0.674181767106315,3.35164855485873,0.47
"49",0.29113194394263,0.67472743016088,3.33887846344844,0.48
"50",0.290364142188223,0.675282616797033,3.32591616835556,0.49
"51",0.289581134752332,0.675847670100258,3.31275508406453,0.5
"52",0.288782318351604,0.676422952340442,3.29938826405489,0.51
"53",0.287967053083901,0.677008846446566,3.28580837323269,0.52
"54",0.287134659398573,0.677605757627148,3.27200765763579,0.53
"55",0.286284414746201,0.678214115154187,3.25797791107962,0.54
"56",0.285415549866195,0.678834374330966,3.24371043836059,0.55
"57",0.284527244664141,0.679467018667074,3.22919601457702,0.56
"58",0.283618623623181,0.680112562287608,3.21442484005986,0.57
"59",0.282688750684641,0.680771552607693,3.19938649032537,0.58
"60",0.281736623522381,0.681444573308424,3.18406986036755,0.59
"61",0.280761167122432,0.682132247656271,3.16846310249535,0.6
"62",0.279761226564097,0.68283524221498,3.15255355678522,0.61
"63",0.27873555888003,0.683554271007461,3.13632767305832,0.62
"64",0.277682823850337,0.684290100195278,3.11977092309716,0.63
"65",0.276601573558324,0.685043553355569,3.10286770158163,0.64
"66",0.275490240502052,0.685815517450095,3.08560121393783,0.65
"67",0.274347124014754,0.686606949599186,3.06795334894381,0.66
"68",0.273170374696311,0.687418884795557,3.04990453350615,0.67
"69",0.271957976494916,0.688252444720309,3.0314335664904,0.68
"70",0.270707725999058,0.689108847857318,3.01251742782723,0.69
"71",0.26941720840067,0.68998942114452,2.99313105828963,0.7
"72",0.268083769464378,0.69089561345369,2.9732471042943,0.71
"73",0.266704482677126,0.691829011257464,2.95283562075818,0.72
"74",0.265276110545729,0.692791356927842,2.93186372334999,0.73
"75",0.263795058741758,0.693784570220226,2.91029517929628,0.74
"76",0.262257321442162,0.694810773639145,2.88808992306564,0.75
"77",0.260658415750237,0.695872322567489,2.86520347953171,0.76
"78",0.258993302462376,0.696971841285942,2.84158627227839,0.77
"79",0.257256289610243,0.69811226633565,2.81718278809193,0.78
"80",0.25544091406626,0.699296899117005,2.79193055970783,0.79
"81",0.253539794920334,0.700529470217405,2.76575891654908,0.8
"82",0.25154445011842,0.701814218790249,2.73858743601903,0.81
"83",0.24944506469344,0.703155991470395,2.71032400363055,0.82
"84",0.247230194339152,0.704560366967954,2.68086235535242,0.83
"85",0.244886381315437,0.706033814883292,2.65007892446466,0.84
"86",0.242397649482305,0.707583900832942,2.61782873890983,0.85
"87",0.239744829545749,0.70921955532809,2.58393999857176,0.86
"88",0.236904640739112,0.710951432116803,2.54820677934166,0.87
"89",0.233848414682284,0.712792394824724,2.51037901661146,0.88
"90",0.230540279033036,0.714758192196287,2.4701484311032,0.89
"91",0.22693449946341,0.716868418595137,2.42712821389554,0.9
"92",0.222971460979112,0.719147920519091,2.38082276128972,0.91
"93",0.218571351111807,0.721628928337999,2.33058085291865,0.92
"94",0.213623750666517,0.72435442399397,2.27551981999352,0.93
"95",0.207969444497835,0.727383739813992,2.21439553631436,0.94
"96",0.201366161496847,0.730802486431806,2.14536269005766,0.95
"97",0.193417272529132,0.734741705851567,2.06548777281882,0.96
"98",0.183401011171798,0.739419351772837,1.96961516899363,0.97
"99",0.169762537529511,0.745246789588135,1.84711028551201,0.98
"100",0.147863126539524,0.753190450417301,1.66810729732467,0.99
"101",0,0.743040559552826,0.862212360224561,1
